PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
M9B4M1,M9B,43.666672,-79.559629,Etobicoke,M,35,Urban
M9B4M2,M9B,43.666345,-79.559461,Etobicoke,M,35,Urban
M9B4M3,M9B,43.672032,-79.562069,Etobicoke,M,35,Urban
M9B4M4,M9B,43.66811,-79.56029,Etobicoke,M,35,Urban
M9B4M5,M9B,43.672233,-79.562161,Etobicoke,M,35,Urban
M9B4M6,M9B,43.639518,-79.546403,Etobicoke,M,35,Urban
M9B4M7,M9B,43.640836,-79.546995,Etobicoke,M,35,Urban
M9B4M8,M9B,43.641551,-79.547317,Etobicoke,M,35,Urban
M9B4M9,M9B,43.642418,-79.547709,Etobicoke,M,35,Urban
M9B4N1,M9B,43.643317,-79.548138,Etobicoke,M,35,Urban
M9B4N2,M9B,43.648418,-79.550097,Etobicoke,M,35,Urban
M9B4N3,M9B,43.646817,-79.5494735,Etobicoke,M,35,Urban
M9B4N4,M9B,43.63919,-79.547785,Etobicoke,M,35,Urban
M9B4N5,M9B,43.639185,-79.547785,Etobicoke,M,35,Urban
M9B4N6,M9B,43.642097,-79.548977,Etobicoke,M,35,Urban
M9B4N7,M9B,43.642651,-79.549221,Etobicoke,M,35,Urban
M9B4N8,M9B,43.643565,-79.549628,Etobicoke,M,35,Urban
M9B4N9,M9B,43.644885,-79.550205,Etobicoke,M,35,Urban
M9B4O4,M9B,43.650052,-79.55396,Etobicoke,M,35,Urban
M9B4P1,M9B,43.646605,-79.551015,Etobicoke,M,35,Urban
M9B4P2,M9B,43.648718,-79.551879,Etobicoke,M,35,Urban
M9B4P3,M9B,43.648686,-79.552037,Etobicoke,M,35,Urban
M9B4P4,M9B,43.649301,-79.552129,Etobicoke,M,35,Urban
M9B4P5,M9B,43.649668,-79.552409,Etobicoke,M,35,Urban
M9B4P6,M9B,43.649237,-79.55197,Etobicoke,M,35,Urban
M9B4P7,M9B,43.649236,-79.551973,Etobicoke,M,35,Urban
M9B4P8,M9B,43.6518245,-79.5524835,Etobicoke,M,35,Urban
M9B4P9,M9B,43.649172,-79.55226,Etobicoke,M,35,Urban
M9B4R1,M9B,43.649143,-79.552383,Etobicoke,M,35,Urban
M9B4R2,M9B,43.651237,-79.554598,Etobicoke,M,35,Urban
M9B4R3,M9B,43.651889,-79.553219,Etobicoke,M,35,Urban
M9B4R4,M9B,43.6521565,-79.5533365,Etobicoke,M,35,Urban
M9B4R5,M9B,43.65279,-79.553613,Etobicoke,M,35,Urban
M9B4R6,M9B,43.653094,-79.55387,Etobicoke,M,35,Urban
M9B4R7,M9B,43.645461,-79.55339,Etobicoke,M,35,Urban
M9B4R8,M9B,43.645442,-79.553386,Etobicoke,M,35,Urban
M9B4R9,M9B,43.644243,-79.552914,Etobicoke,M,35,Urban
M9B4S1,M9B,43.643192,-79.552273,Etobicoke,M,35,Urban
M9B4S2,M9B,43.641561,-79.551589,Etobicoke,M,35,Urban
M9B4S3,M9B,43.640222,-79.550547,Etobicoke,M,35,Urban
M9B4S4,M9B,43.63971909,-79.55067513,Etobicoke,M,35,Urban
M9B4S5,M9B,43.643407,-79.549758,Etobicoke,M,35,Urban
M9B4S6,M9B,43.643409,-79.549749,Etobicoke,M,35,Urban
M9B4S7,M9B,43.644837,-79.551865,Etobicoke,M,35,Urban
M9B4S8,M9B,43.638331,-79.551498,Etobicoke,M,35,Urban
M9B4S9,M9B,43.639362,-79.55195,Etobicoke,M,35,Urban
M9B4T1,M9B,43.639969,-79.552215,Etobicoke,M,35,Urban
M9B4T2,M9B,43.64215,-79.553227,Etobicoke,M,35,Urban
M9B4T3,M9B,43.64393569,-79.55405028,Etobicoke,M,35,Urban
M9B4T4,M9B,43.644293,-79.554217,Etobicoke,M,35,Urban
M9B4T5,M9B,43.645537,-79.554737,Etobicoke,M,35,Urban
M9B4T6,M9B,43.645547,-79.554741,Etobicoke,M,35,Urban
M9B4T7,M9B,43.640093,-79.553417,Etobicoke,M,35,Urban
M9B4T8,M9B,43.64008,-79.553412,Etobicoke,M,35,Urban
M9B4T9,M9B,43.642225,-79.554596,Etobicoke,M,35,Urban
M9B4V1,M9B,43.643561,-79.555166,Etobicoke,M,35,Urban
M9B4V2,M9B,43.644368,-79.555516,Etobicoke,M,35,Urban
M9B4V3,M9B,43.644027,-79.555367,Etobicoke,M,35,Urban
M9B4V4,M9B,43.639872,-79.554392,Etobicoke,M,35,Urban
M9B4V5,M9B,43.639969,-79.554434,Etobicoke,M,35,Urban
M9B4V6,M9B,43.639587,-79.555408,Etobicoke,M,35,Urban
M9B4V7,M9B,43.6403975,-79.5557615,Etobicoke,M,35,Urban
M9B4V8,M9B,43.646596,-79.557813,Etobicoke,M,35,Urban
M9B4V9,M9B,43.646584,-79.557808,Etobicoke,M,35,Urban
M9B4W1,M9B,43.644182,-79.556904,Etobicoke,M,35,Urban
M9B4W2,M9B,43.644235,-79.556673,Etobicoke,M,35,Urban
M9B4W3,M9B,43.643416,-79.556445,Etobicoke,M,35,Urban
M9B4W4,M9B,43.642583,-79.555962,Etobicoke,M,35,Urban
M9B4W5,M9B,43.650511,-79.542461,Etobicoke,M,35,Urban
