age,income,avg_children,youth_ratio,pcode
36.1,31979,1.02910115,22.6,L4G
43.4,27222,1.073415133,13.3,L4E
41.9,26520,1.022273425,14.1,L4C
39.3,36703,1.047890154,20.9,L4B
37.1,32760,1.089539749,20.7,L4A
43.4,31895,1.139041347,13.9,L3Z
36,33957,1.13373494,21.2,L3Y
44.8,28518,1.195302305,14.4,L3X
44.2,29455,1.03005058,12.8,L3V
38.8,21521,1.112978525,16.7,L3T
42.6,23650,1.048257373,13.8,L3S
43.5,31527,1.039614957,14.6,L3R
42.3,37132,1.116405308,17.5,L3P
46.6,27782,1.18776824,13.4,L3M
43.6,29674,1.135150167,15.2,L3K
43.9,25330,1.184256055,14.3,L3C
37.1,31040,1.277777778,21,L3B
40.3,27997,1.163636364,15.9,L2W
44.9,27215,1.139442231,10.4,L2V
40.3,28405,1.193548387,17.5,L2T
41.7,25088,1.184684685,13.3,L2S
40.9,27204,1.216182048,15.6,L2R
48.1,30982,1.130922693,12.5,L2P
44.2,27558,1.171460177,14.7,L2N
46.1,29732,1.129383313,13.5,L2M
39.8,30361,1.156668608,19,L2J
43.6,25737,1.215053763,14.3,L2H
45.4,24452,1.178674352,12.4,L2G
45.2,27072,1.184720639,14.7,L2E
32.9,35317,1.146493971,25.9,L2A
42.8,37024,0.97080292,13.5,L1Z
37.2,33024,1.110810811,18.9,L1Y
42.9,34971,1.150890347,13.9,L1X
40.6,34687,1.143127706,16.2,L1W
36.6,31602,1.152145978,19.7,L1V
41.2,32629,1.153303638,15.5,L1T
37.1,37297,1.128138246,20.2,L1S
35.6,36141,1.158610272,22.4,L1R
42.5,34899,1.117107943,15.1,L1P
33.9,46485,1.150910159,28,L1N
33.6,35954,1.053921569,24.4,L1M
36.1,36302,1.135738832,22.8,L1L
41.4,28586,1.256420878,15.3,L1K
42.7,28238,1.200474496,14,L1J
44.6,29772,1.192917055,13.1,L1H
37.5,39074,1.110435664,18.9,L1G
37.5,36314,1.132611637,20,L1E
44.1,35771,1.075498575,16.4,L1C
46.9,31766,1.105867347,12.8,L1B
47,32964,1.067380788,13.2,L1A
39.8,36560,1.089150943,19.6,L0S
43,36717,1.026119403,15.6,L0R
40.6,32374,1.089171975,17.7,L0P
39.2,33106,1.083555556,17.6,L0N
42.5,34585,1.058202859,16.2,L0M
45.9,30479,1.074094708,13.1,L0L
40.5,43008,1.09383378,17.5,L0K
42.9,34240,1.061403509,14.3,L0J
41.1,36289,1.067045455,16.9,L0H
43.4,30894,1.114334471,14.9,L0G
42.5,34790,1.036850921,15.2,L0E
43.2,35469,1.052350427,14.1,L0C
42,35082,1.021028037,16.4,L0B
46.8,27881,1.172802404,13.2,L0A
42,33325,1.141860465,17.4,K9V
43.9,34757,1.11227154,15.4,K9L
43.9,27793,1.169110907,14.6,K9K
43.5,25590,1.177946768,13.4,K9J
48,31637,1.139607843,12.9,K9H
42.3,28672,1.120989305,16.3,K9A
42.7,34560,1.046511628,16.2,K8V
43.7,25776,1.210116732,14.9,K8R
44.4,29947,1.136457615,15,K8P
31.9,45150,1.066810345,22.8,K8N
39.1,36864,1.225806452,19.3,K8H
44.1,30017,1.133881825,15.1,K8B
46.5,28807,1.159021407,13.9,K8A
45.2,31519,1.117474302,14.7,K7V
45.5,29082,1.103825137,14.7,K7S
40.6,37681,1.142335766,17.8,K7R
40.6,34752,1.160569106,19.4,K7P
44,31967,1.154560811,14.1,K7N
44.4,33045,1.103975535,9.9,K7M
39.2,26887,1.201290323,15.9,K7L
48.5,31331,1.085195531,12.1,K7K
47.8,31296,1.103535354,12.7,K7H
42.1,34886,1.102021174,17.2,K7G
44,28710,1.164746544,15.8,K7C
46.9,28222,1.175932978,12.7,K7A
43.9,34816,0.815789474,14.4,K6V
42.9,30912,1.114130435,17.3,K6T
44.3,25239,1.200463499,15.4,K6K
43.8,24894,1.201702685,15.9,K6J
47.9,25118,1.240942029,12.5,K6H
39.3,42206,1.102040816,19.5,K6A
40,45925,1.020467836,19.2,K4R
