PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
P0K1S0,P0K,48.20372,-80.202472,Sesekinika,P,35,Rural
P0K1T0,P0K,49.073579,-81.010245,Swastika,P,35,Rural
P0K1V0,P0K,48.054621,-80.206651,Tarzwell,P,35,Rural
P0K1W0,P0K,48.570282,-80.65874,Val Gagne,P,35,Rural
P0K1X0,P0K,48.133583,-79.580292,Virginiatown,P,35,Rural
P0K2K0,P0K,48.247538,-80.690275,Val Gagne,P,35,Rural
P0K3G9,P0K,48.247538,-80.690275,Val Gagne,P,35,Rural
P0L1A0,P0L,52.923019,-82.417344,Attawapiskat,P,35,Rural
P0L1B0,P0L,49.791114,-84.14587,Calstock,P,35,Rural
P0L1C0,P0L,49.06292,-81.02892,Cochrane,P,35,Rural
P0L1E0,P0L,49.776833,-83.680683,Driftwood,P,35,Rural
P0L1G0,P0L,49.311486,-82.037194,Fauquier,P,35,Rural
P0L1H0,P0L,52.199252,-81.707254,Fort Albany,P,35,Rural
P0L1J0,P0L,50.024947,-81.471243,Fraserdale,P,35,Rural
P0L1K0,P0L,49.095999,-81.215569,Frederickhouse,P,35,Rural
P0L1L0,P0L,49.651304,-83.584463,Hallebourg,P,35,Rural
P0L1M0,P0L,49.477504,-82.677681,Harty,P,35,Rural
P0L1N0,P0L,49.723132,-83.78725,Hearst,P,35,Rural
P0L1N1,P0L,49.687807,-83.687836,Hearst,P,35,Rural
P0L1N6,P0L,49.993478,-83.073215,Hallebourg,P,35,Rural
P0L1P0,P0L,49.286577,-81.554261,Hunta,P,35,Rural
P0L1R0,P0L,49.279398,-81.629985,Jogues,P,35,Rural
P0L1S0,P0L,52.291918,-81.64956,Kashechewan,P,35,Rural
P0L1T0,P0L,49.612586,-83.259634,Mattice,P,35,Rural
P0L1V0,P0L,49.51554,-82.620203,Moonbeam,P,35,Rural
P0L1W0,P0L,51.256536,-80.614275,Moose Factory,P,35,Rural
P0L1X0,P0L,51.276661,-80.643919,Moose River,P,35,Rural
P0L1Y0,P0L,51.287732,-80.625488,Moosonee,P,35,Rural
P0L1Z0,P0L,49.488368,-82.804648,Opasatika,P,35,Rural
P0L2A0,P0L,51.280112,-80.631479,Sasakipao,P,35,Rural
P0L2B0,P0L,49.278319,-81.622005,Smooth Rock Falls,P,35,Rural
P0L2C0,P0L,49.307711,-81.83817,Strickland,P,35,Rural
P0L2E0,P0L,49.680811,-83.418018,Val Cote,P,35,Rural
P0L2G0,P0L,49.429249,-82.507976,Valrita,P,35,Rural
P0L2H0,P0L,54.994367,-85.432882,Peawanuck,P,35,Rural
P0L2J0,P0L,49.691514,-83.672021,Hearst,P,35,Rural
P0L2K0,P0L,49.687808,-83.687836,Hearst,P,35,Rural
P0L2L0,P0L,49.021967,-81.00855,Cochrane,P,35,Rural
P0L2M0,P0L,49.063082,-81.010317,Cochrane,P,35,Rural
P0M0S0,P0M,47.870144,-83.055562,Foleyet,P,35,Rural
P0M1A0,P0M,46.132885,-80.823079,Alban,P,35,Rural
P0M1B0,P0M,46.54320634,-81.10815026,Azilda,P,35,Rural
P0M1C0,P0M,47.457876,-82.333595,Biscotasing,P,35,Rural
P0M1E0,P0M,46.60713,-81.051687,Blezard Valley,P,35,Rural
P0M1G0,P0M,46.419263,-80.766148,Burwash,P,35,Rural
P0M1H0,P0M,46.767068,-80.817922,Capreol,P,35,Rural
P0M1J0,P0M,46.73655,-81.408841,Cartier,P,35,Rural
P0M1K0,P0M,47.802473,-83.401326,Chapleau,P,35,Rural
P0M1L0,P0M,46.567737,-81.216907,Chelmsford,P,35,Rural
P0M1L1,P0M,47.802991,-83.07723,Foleyet,P,35,Rural
P0M1L2,P0M,47.802991,-83.07723,Foleyet,P,35,Rural
P0M1M0,P0M,46.484799,-80.849979,Nickel Centre,P,35,Rural
P0M1N0,P0M,46.464122,-81.074038,Copper Cliff,P,35,Rural
P0M1P0,P0M,46.45829,-81.171852,Creighton Mine,P,35,Rural
P0M1R0,P0M,46.586765,-81.344181,Dowling,P,35,Rural
P0M1S0,P0M,46.576573,-80.818235,Falconbridge,P,35,Rural
P0M1T0,P0M,48.252737,-82.454052,Foleyet,P,35,Rural
P0M1V0,P0M,46.550326,-80.862122,Garson,P,35,Rural
P0M1W0,P0M,47.672775,-81.729139,Gogama,P,35,Rural
P0M1X0,P0M,46.414326,-80.505213,Hagar,P,35,Rural
P0M1Y0,P0M,46.644194,-80.935811,Hanmer,P,35,Rural
P0M1Y1,P0M,46.490077,-80.906944,Valley East,P,35,Rural
P0M1Z0,P0M,49.223988,-84.680868,Hornepayne,P,35,Rural
P0M2A0,P0M,45.972356,-81.513921,Killarney,P,35,Rural
P0M2B0,P0M,47.785218,-82.794937,Kormak,P,35,Rural
P0M2C0,P0M,46.640144,-81.387861,Levack,P,35,Rural
P0M2E0,P0M,46.400031,-81.206156,Lively,P,35,Rural
P0M2G0,P0M,46.524694,-80.605373,Markstay,P,35,Rural
P0M2H0,P0M,48.311349,-84.085401,Missanabie,P,35,Rural
P0M2J0,P0M,48.687496,-85.644801,Mobert,P,35,Rural
P0M2K0,P0M,46.131577,-80.027197,Monetville,P,35,Rural
P0M2L0,P0M,46.559868,-80.864109,Nickel Centre,P,35,Rural
P0M2M0,P0M,46.396068,-81.217164,Walden,P,35,Rural
P0M2N0,P0M,46.148351,-80.430496,Noelville,P,35,Rural
P0M2P0,P0M,49.093692,-84.042882,Oba,P,35,Rural
P0M2R0,P0M,46.615954,-81.433303,Onaping,P,35,Rural
P0M2S0,P0M,47.457877,-82.333595,Ramsey,P,35,Rural
P0M2T0,P0M,46.568043,-80.986273,Ridgeview,P,35,Rural
P0M2V0,P0M,46.069191,-80.603196,Rutter,P,35,Rural
P0M2W0,P0M,46.206786,-80.495169,St Charles,P,35,Rural
P0M2W2,P0M,47.523438,-82.573203,Sultan,P,35,Rural
P0M2X0,P0M,47.531843,-81.191186,Shining Tree,P,35,Rural
P0M2Y0,P0M,46.661208,-80.750073,Skead,P,35,Rural
P0M2Z0,P0M,47.584499,-82.752021,Sultan,P,35,Rural
P0M3A0,P0M,46.634705,-80.990711,Val Caron,P,35,Rural
